Year,Row Labels,Average of Avg. Temperature in Kelvin,Average of SNOW Avg. Number of Pixels,Average of NDVI Avg. Number of pixel,ANNUAL NDVI,SEASONAL NDVI,SEASONAL SNOWCOVER
2001,January,271.344059,6790.325,9418.25,14225.59167,11208.575,6643.7125
2001,February,273.9136632,6497.1,12998.9,15296.25556,13899.31667,5613.083333
2001,March,277.3168512,6900.65,12748.55,14542.93333,15314.5,1361.6
2001,April,283.7967981,5850.5,13755.6,14660.37083,15663.68333,2879.972222
2001,May,290.6490878,4088.1,15193.8,14453.04167,15305.45556,7384.083333
2001,June,290.7548333,2491.05,14378.25,14805.175,13763.96667,6178.297222
2001,July,291.23104,945.45,15706.15,14765.35417,16161.73333,1463.875
2001,August,290.2684984,648.3,15859.1,14151.20833,15684.68333,3290.366667
2001,September,291.9447398,1379.375,16652.7,14747.3375,13470.91667,5046.491667
2001,October,287.9716831,2020.666667,15737.75,14824.20833,13583.75,6160.908334
2001,November,279.0535033,5239.875,14600.6,14437.82917,15688.93333,1242.175
2001,December,269.8247815,6346.625,13657.45,14060.50833,15664.76667,2423.666667
2002,January,268.0870534,7719.875,20947.91667,14523.8625,12822.45,6808.883333
2002,February,267.7377099,8085.75,11311,14391.0625,14351.08333,5255.955556
2002,March,276.9770144,7348.8,13008.3,14701.55417,16010.46667,1309.494444
2002,April,282.5856148,6362.266667,13517.75,14992.96667,15339.65,3877.677778
2002,May,288.7829108,4823.825,14765.85,14873.25,12332.2,6609.183333
2002,June,292.1955264,2560.725,15966,,13476.63333,6388.938889
2002,July,293.9464968,897.9333333,16465.1,,15626.36667,2235.816667
2002,August,290.1231026,932.9666666,16054.1,,16161.93333,2538.088889
2002,September,285.4344555,3045,16042.6,,13433.36667,5645.241667
2002,October,284.6882677,3328.325,15875.1,,14067.61667,5808.430556
2002,November,279.3021853,3497.775,15136.35,,16382.06667,1342.777778
2002,December,273.1494338,4263.55,14465,,15803.56667,2878.211111
2003,January,273.2032903,3343.775,14024.85,,13132.16667,6915.341667
2003,February,268.5243639,7532.15,11922.9,,13956.3,5775.369444
2003,March,275.4903317,6941.875,12817,,16114.31667,1405.805556
2003,April,282.4526726,6569.900001,13614.2,,15713.81667,2699.436111
2003,May,286.6767405,4970.95,14320.05,,12455.2,6415.525
2003,June,292.0531336,2332.55,15328.3,,13735.86667,5765.605555
2003,July,290.7979687,815.275,15836.6,,14588.56667,1189.647222
2003,August,290.3672734,578.7000001,15901.9,,15683.5,4091.308333
2003,September,289.5962827,1136.825,15860.4,,13507.1,6663.758333
2003,October,287.0935058,2214.35,16186.05,,13793.41667,5906.486111
2003,November,278.7269446,3919.825,14947.85,,16230.21667,2119.4
2003,December,269.3145402,5239.375,13755.1,,15576.05,4534.158333
2004,January,266.4955286,7200.55,12266.7,,13395.51667,6872.816667
2004,February,270.7901113,7986.725,12445.55,,14119.8,5763.547222
2004,March,282.1241055,5968.95,13833.65,,15658.08333,2405.55
2004,April,286.3816021,4982.866667,14056.9,,15855.11667,3749.591667
2004,May,290.1016461,4816.05,15162.7,,12922.86667,6437.683333
2004,June,291.7251691,2213.725,16091,,13709.98333,6197.841667
2004,July,292.3645325,890.325,15990.3,,15107.06667,2086.597222
2004,August,290.2564633,824.4333333,15950.1,,15993.15,2329.316667
2004,September,292.4595564,1152.808333,16653.6,,12493.33333,6075.05
2004,October,283.5329582,5639.025,14739.1,,13610.93333,5807.691667
2004,November,277.9698322,4841.2,14626.25,,14593.53333,1684.394445
2004,December,273.0675077,5171.325,14108.6,,15876.13333,2812.866667
2005,January,264.5406939,8282.1,11899.65,,12470.13333,7181.9
2005,February,266.8615672,6374.125,10988.35,,13810.3,6234.766667
2005,March,275.9315273,7410.6,12686.5,,15920.56667,2550.320833
2005,April,279.9529991,6409.666667,13418.7,,15736.75,2906.066667
2005,May,284.719351,5346.55,14324.7,,12708.81667,6717.125
2005,June,290.8649721,3711.125,14660.75,,13315.16667,6698.575
2005,July,289.8115671,1978.025,15375.35,,15742.5,2167.277778
2005,August,292.2086183,1018.3,16843,,15888.45,2546.225
2005,September,290.27485,2065.575,17063.95,,12805.35,7294.833333
2005,October,285.4585613,2760.666667,16142.5,,16086.2,6483.666667
2005,November,279.3087572,2788.025,15279.35,,16531.76667,2119.008333
2005,December,273.7887088,3671.8,14753.7,,15990.16667,3767.583333
2006,January,267.1486377,6478.85,12444.75,,13725.333,6264.1583
2006,February,273.4964234,6785.075,13101.65,,14369,5644.575
2006,March,275.7063534,6974.3,13082.05,,15560.66667,1098.927778
2006,April,281.7917745,6311.166667,13839.4,,16015.93333,1284.566667
2006,May,289.8450082,4139.825,15281.4,,13383.53333,5809.741667
2006,June,291.5983313,2239.15,15808.55,,14175.83333,6396.541667
2006,July,290.1059213,1015.05,16306.85,,14788.46667,3359.647222
2006,August,288.2922965,774.1333334,17030.8,,16202.8,3579.416667
2006,September,290.0999203,1551.35,16886.7,,14282.1,6779.725
2006,October,286.63551,2631.358333,15826.75,,,
2006,November,277.519471,4451.925,14697.25,,,
2006,December,269.1692455,7476.425,13355.95,,,
2007,January,270.7068912,6270.3,13641.35,,,
2007,February,269.6090783,6999.3,12399.2,,,
2007,March,275.5855137,7623.6,12287.3,,,
2007,April,286.4333636,5695.233333,14155.5,,,
2007,May,288.8678638,4007.275,15426.1,,,
2007,June,292.0340007,2246.35,16206,,,
2007,July,291.372391,1104.8,15955.15,,,
2007,August,290.9346142,866.2666667,16181.8,,,
2007,September,289.2260126,1603.175,16428.55,,,
2007,October,284.3833192,3639.333333,15597.7,,,
2007,November,281.2951176,2855.8,15115.2,,,
2007,December,271.084529,5894.95,13790.4,,,
2008,January,264.7493775,5629.4,12006.9,,,
2008,February,268.6734798,7722.225,11568.3,,,
2008,March,278.6568181,6495.475,13256.8,,,
2008,April,281.9126503,6302.466666,13617,,,
2008,May,287.8304471,4498.875,14333.8,,,
2008,June,289.9623865,1881.775,14433.9,,,
2008,July,291.516687,735.8,13683.2,,,
2008,August,289.310549,951.3666667,15648.6,,,
2008,September,289.2197149,2795.975,16617.4,,,
2008,October,283.2990997,4796.275,15463.9,,,
2008,November,280.0561978,4681.675,14969.2,,,
2008,December,272.5108549,5760.3,14215.5,,,
2009,January,267.5611007,7141.375,13177.85,,,
2009,February,270.9133989,7089.6,13127.95,,,
2009,March,276.9018074,6403.325,13341,,,
2009,April,283.4992811,6165.133333,13636.3,,,
2009,May,286.8872677,5151,14402.95,,,
2009,June,291.6994662,3581.4,15605.5,,,
2009,July,292.0283139,1841.5,16122.55,,,
2009,August,291.5468826,935.3,16962.6,,,
2009,September,287.6026677,4091.775,16344.5,,,
2009,October,283.9650595,3534.525,15853.45,,,
2009,November,274.6137532,5976.175,14530.2,,,
2009,December,268.3840785,6358.4,13863.2,,,
2010,January,268.8965014,7136.55,13665.7,,,
2010,February,269.813168,7123.5,12657.65,,,
2010,March,280.1421597,6549.5,13549.8,,,
2010,April,285.9229418,5743.133333,13945,,,
2010,May,288.2662102,4998.008333,14864.6,,,
2010,June,289.0900767,3955.925,15828.35,,,
2010,July,288.2857814,2167.825,15796.7,,,
2010,August,285.8501186,1092.9,15349.2,,,
2010,September,287.5757325,2266.2,16518.3,,,
2010,October,284.6981171,4379.15,16126.55,,,
2010,November,278.9500528,4603.425,14920.5,,,
2010,December,274.3109461,4995.475,14668.15,,,
2011,January,264.8032156,8368.275,12132.55,,,
2011,February,266.9927747,5949.3,11967.9,,,
2011,March,276.2400154,7185.8,12770.55,,,
2011,April,281.5118605,6531.3,13377.55,,,
2011,May,288.4540056,4876.425,14981.85,,,
2011,June,289.7529628,3165.425,16127.05,,,
2011,July,290.6733075,1156.9,15075.55,,,
2011,August,287.1285536,1937.466667,14118.6,,,
2011,September,289.2637063,1499.1,16524.55,,,
2011,October,286.2377639,2677.825,16215.9,,,
2011,November,281.355818,2811.025,15239,,,
2011,December,274.1501202,4309.625,14722.9,,,
2012,January,265.5169608,6906.425,11096.5,,,
2012,February,267.5162018,7009.1,11660.6,,,
2012,March,275.9009004,7001.3,12931.3,,,
2012,April,281.3559562,5551.8,13699.6,,,
2012,May,287.6271257,4869.975,14201.9,,,
2012,June,292.9707665,3054.991667,14675.3,,,
2012,July,292.098604,1319.425,14916.9,,,
2012,August,289.5216583,678.7666667,14188.4,,,
2012,September,288.4533385,1923.875,15926.5,,,
2012,October,284.4274942,2954.9,16358.6,,,
2012,November,279.0494983,3559.825,15343.3,,,
2012,December,270.2038889,6439.075,13727.2,,,
2013,January,266.2820524,7177.125,12146.05,,,
2013,February,267.7863055,7929.5,11537.15,,,
2013,March,275.740334,7376.1,12919.3,,,
2013,April,281.2315427,6215.900001,13740.15,,,
2013,May,288.3065199,5112.3,14771.45,,,
2013,June,290.8719666,3386.675,16235.95,,,
2013,July,292.266897,1140.008333,16204.55,,,
2013,August,287.4920815,562.3,15321.2,,,
2013,September,288.7717867,1300.225,16379.25,,,
2013,October,287.6036805,2346.775,16062.4,,,
2013,November,277.4095648,5071.2,14768.6,,,
2013,December,272.4823454,5317.95,14200.3,,,
2014,January,266.870273,7571.25,12575.5,,,
2014,February,266.0730553,7262.175,11350.65,,,
2014,March,273.7268149,7403.6,12441.25,,,
2014,April,280.3270896,6891.8,13231.9,,,
2014,May,286.0054608,5800.325,14272.35,,,
2014,June,290.7062784,3722.858333,15648.95,,,
2014,July,290.6596576,1671.758333,13992.45,,,
2014,August,292.6108219,1107.216667,17586.1,,,
2014,September,290.4043689,1373.725,16536.8,,,
2014,October,286.3156472,2746.575,15998.6,,,
2014,November,279.8930775,3518.375,15129.95,,,
2014,December,270.8905727,6518.925,13928.25,,,
2015,January,266.9996428,7693.075,12777.05,,,
2015,February,268.0283698,7672.5,11710.75,,,
2015,March,273.8053774,7286.4,12152.75,,,
2015,April,281.8150997,6705.600001,13444.85,,,
2015,May,286.815219,5459,14749.5,,,
2015,June,289.9681222,3687.45,15832,,,
2015,July,290.6040599,1700.175,15999.4,,,
2015,August,289.4186347,969.4,17763.9,,,
2015,September,290.8234305,2027.225,17180,,,
2015,October,285.7855985,3590.225,16055.7,,,
2015,November,278.0225173,5685.3,14734.8,,,
2015,December,271.5356568,6327.45,14017.95,,,
